Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Positive,Neutral,Negative,Date,Total Tourist Arrivals,Sri Lanka Hotels,Sri Lanka Flights,Sri Lanka Visa
0,0,0,0,0,0,0,0,0,1/1/2006,52103,49,29,0
1,0,0,0,0,1,0,2,0,2/1/2006,52687,41,20,0
1,0,2,0,1,0,1,3,0,3/1/2006,54746,35,20,47
0,1,2,0,1,1,0,4,1,4/1/2006,49776,38,20,0
3,1,1,5,0,1,4,3,4,5/1/2006,43825,34,16,0
0,0,0,0,0,0,0,0,0,6/1/2006,44066,29,17,0
0,0,0,0,0,0,0,0,0,7/1/2006,55354,36,15,0
1,0,1,0,0,1,0,1,2,8/1/2006,52931,33,16,36
0,0,0,0,0,0,0,0,0,9/1/2006,38485,24,13,0
0,0,0,0,0,0,0,0,0,10/1/2006,38815,30,18,32
4,0,8,0,0,1,5,2,6,11/1/2006,37591,35,14,79
0,0,1,0,0,0,0,0,1,12/1/2006,39224,30,15,65
3,0,0,0,1,2,1,1,4,1/1/2007,56553,36,23,0
0,0,5,0,1,1,2,4,1,2/1/2007,43051,29,19,0
1,0,3,1,1,1,1,3,3,3/1/2007,35031,31,19,40
0,2,5,2,5,3,3,10,4,4/1/2007,33039,25,19,32
2,1,8,4,1,1,6,8,3,5/1/2007,26307,22,16,43
0,2,2,0,1,3,1,6,1,6/1/2007,30810,28,16,61
0,0,5,0,3,0,0,3,5,7/1/2007,44142,33,19,52
1,2,2,0,0,1,2,2,2,8/1/2007,44742,34,21,61
2,0,3,0,3,1,1,5,3,9/1/2007,37104,30,20,42
0,0,0,0,0,0,0,0,0,10/1/2007,37011,32,23,34
1,1,7,0,0,2,2,6,3,11/1/2007,45102,32,19,46
0,1,8,0,1,2,2,7,3,12/1/2007,61116,33,15,0
0,0,6,0,1,0,2,4,1,1/1/2008,56916,35,21,44
1,2,7,0,1,1,1,4,7,2/1/2008,40551,28,14,42
1,1,6,0,3,2,3,5,5,3/1/2008,38049,29,14,43
2,1,8,2,1,2,2,9,5,4/1/2008,29747,22,15,50
1,5,4,5,4,0,3,7,9,5/1/2008,31140,23,14,40
0,3,5,0,2,1,3,6,2,6/1/2008,27960,26,14,47
0,1,5,0,1,0,0,4,3,7/1/2008,32982,27,15,43
1,2,6,0,2,1,1,9,2,8/1/2008,30672,27,15,33
0,1,8,0,2,0,3,5,3,9/1/2008,29529,22,15,33
0,0,0,0,0,0,0,0,0,10/1/2008,35103,23,14,38
0,3,2,0,3,1,1,3,5,11/1/2008,36901,25,13,40
0,5,4,0,0,0,1,1,7,12/1/2008,48925,25,13,31
0,2,3,0,0,2,2,3,2,1/1/2009,38468,29,18,33
2,3,4,0,1,3,1,4,8,2/1/2009,34169,22,14,34
0,6,1,1,1,1,0,3,7,3/1/2009,34065,22,11,36
0,3,3,0,0,2,2,4,2,4/1/2009,26054,28,11,35
2,2,1,15,2,3,12,7,6,5/1/2009,24739,26,11,46
2,0,2,0,1,7,1,7,4,6/1/2009,30234,31,13,50
0,1,3,0,0,1,0,3,2,7/1/2009,42223,38,14,42
0,0,4,0,0,0,1,2,1,8/1/2009,41207,41,16,45
0,2,3,0,0,2,2,3,2,9/1/2009,37983,36,15,46
3,1,2,0,1,3,4,4,2,10/1/2009,37575,40,14,43
0,1,2,0,2,3,1,2,5,11/1/2009,44311,41,16,41
0,1,2,0,1,3,2,1,4,12/1/2009,56862,41,14,28
0,7,3,0,1,0,5,4,2,1/1/2010,50757,47,21,43
0,1,3,0,0,2,1,5,0,2/1/2010,57300,43,15,54
1,0,3,0,4,2,2,6,2,3/1/2010,52352,43,18,48
0,3,2,1,1,0,3,2,2,4/1/2010,38300,41,16,49
0,3,1,20,2,1,14,11,2,5/1/2010,35213,39,16,46
0,2,2,3,5,1,4,6,3,6/1/2010,44730,40,16,44
2,1,3,0,0,0,1,3,2,7/1/2010,63339,46,16,38
0,0,0,0,0,1,0,1,0,8/1/2010,55898,48,17,49
1,1,1,0,0,1,2,1,1,9/1/2010,47339,43,15,37
0,1,3,0,2,3,1,4,4,10/1/2010,52370,43,13,42
1,0,1,0,0,0,0,2,0,11/1/2010,72251,44,14,41
1,2,3,0,0,2,2,4,2,12/1/2010,84627,40,13,38
3,1,7,0,3,2,3,6,7,1/1/2011,74197,44,16,34
4,0,5,0,0,4,2,6,5,2/1/2011,65797,39,14,34
0,0,5,0,3,2,2,6,2,3/1/2011,75130,33,13,40
1,0,7,0,4,0,5,4,3,4/1/2011,63835,33,13,42
1,2,3,18,0,1,10,11,4,5/1/2011,48943,34,14,34
0,0,0,0,2,1,1,2,0,6/1/2011,53636,39,15,43
3,0,4,0,8,1,1,3,12,7/1/2011,83786,40,16,37
1,0,5,0,3,3,4,6,2,8/1/2011,72463,49,15,38
0,2,3,0,0,2,1,5,1,9/1/2011,60219,38,14,39
0,0,0,0,0,0,0,0,0,10/1/2011,69563,39,14,40
1,2,5,0,3,2,2,6,5,11/1/2011,90889,41,12,38
0,0,3,0,1,4,3,4,1,12/1/2011,97517,40,13,27
0,1,6,0,1,1,2,5,2,1/1/2012,85874,45,16,36
0,4,6,0,14,0,4,10,10,2/1/2012,83549,38,15,30
0,2,4,0,3,2,2,3,6,3/1/2012,91102,36,14,31
4,1,5,0,5,2,2,7,8,4/1/2012,69591,36,13,30
1,7,3,7,4,2,6,12,6,5/1/2012,57506,35,14,33
3,1,6,3,6,5,0,13,11,6/1/2012,65245,36,15,31
1,2,5,0,6,0,3,4,7,7/1/2012,90338,40,15,35
0,0,2,0,10,3,3,2,10,8/1/2012,79456,42,15,31
1,1,5,0,4,4,1,8,6,9/1/2012,71111,43,17,31
2,0,1,0,6,1,4,4,2,10/1/2012,80379,39,15,31
1,0,2,0,1,0,0,2,2,11/1/2012,109202,39,13,25
3,0,0,0,0,0,0,1,2,12/1/2012,122252,38,12,26
1,1,1,0,1,0,1,3,0,1/1/2013,110543,45,20,31
0,1,3,0,3,1,0,6,2,2/1/2013,113968,38,16,31
0,1,1,0,2,1,2,1,2,3/1/2013,113208,36,17,29
1,1,4,2,5,4,6,5,6,4/1/2013,80737,35,14,29
1,2,2,25,5,0,7,22,6,5/1/2013,74838,34,13,30
1,2,4,1,1,1,5,3,2,6/1/2013,90279,35,14,29
2,1,2,1,0,1,0,5,2,7/1/2013,107016,41,15,31
1,1,4,3,0,0,3,6,0,8/1/2013,123269,44,16,28
1,0,2,0,1,1,0,3,2,9/1/2013,90339,38,16,32
0,5,0,0,3,1,1,3,5,10/1/2013,107058,39,15,29
0,0,4,0,3,1,3,3,2,11/1/2013,109420,40,13,28
0,0,1,1,4,2,1,5,2,12/1/2013,153918,41,13,24
0,1,4,0,3,0,1,4,3,1/1/2014,146575,45,18,29
0,3,3,0,2,0,3,2,3,2/1/2014,141878,40,16,31
0,0,3,0,1,1,1,3,1,3/1/2014,133048,36,15,26
1,0,4,4,2,3,3,6,5,4/1/2014,112631,36,14,28
2,6,3,25,1,2,13,22,4,5/1/2014,90046,32,14,29
2,1,2,0,2,2,2,4,3,6/1/2014,103175,34,14,30
2,1,3,0,2,1,1,4,4,7/1/2014,133971,39,16,29
1,1,2,2,0,1,1,5,1,8/1/2014,140319,45,15,27
