Date,Total Tourist Arrivals,Sri Lanka Hotels,Sri Lanka Flights,Sri Lanka Visa
1/1/2006,52103,49,29,0
2/1/2006,52687,41,20,0
3/1/2006,54746,35,20,47
4/1/2006,49776,38,20,0
5/1/2006,43825,34,16,0
6/1/2006,44066,29,17,0
7/1/2006,55354,36,15,0
8/1/2006,52931,33,16,36
9/1/2006,38485,24,13,0
10/1/2006,38815,30,18,32
11/1/2006,37591,35,14,79
12/1/2006,39224,30,15,65
1/1/2007,56553,36,23,0
2/1/2007,43051,29,19,0
3/1/2007,35031,31,19,40
4/1/2007,33039,25,19,32
5/1/2007,26307,22,16,43
6/1/2007,30810,28,16,61
7/1/2007,44142,33,19,52
8/1/2007,44742,34,21,61
9/1/2007,37104,30,20,42
10/1/2007,37011,32,23,34
11/1/2007,45102,32,19,46
12/1/2007,61116,33,15,0
1/1/2008,56916,35,21,44
2/1/2008,40551,28,14,42
3/1/2008,38049,29,14,43
4/1/2008,29747,22,15,50
5/1/2008,31140,23,14,40
6/1/2008,27960,26,14,47
7/1/2008,32982,27,15,43
8/1/2008,30672,27,15,33
9/1/2008,29529,22,15,33
10/1/2008,35103,23,14,38
11/1/2008,36901,25,13,40
12/1/2008,48925,25,13,31
1/1/2009,38468,29,18,33
2/1/2009,34169,22,14,34
3/1/2009,34065,22,11,36
4/1/2009,26054,28,11,35
5/1/2009,24739,26,11,46
6/1/2009,30234,31,13,50
7/1/2009,42223,38,14,42
8/1/2009,41207,41,16,45
9/1/2009,37983,36,15,46
10/1/2009,37575,40,14,43
11/1/2009,44311,41,16,41
12/1/2009,56862,41,14,28
1/1/2010,50757,47,21,43
2/1/2010,57300,43,15,54
3/1/2010,52352,43,18,48
4/1/2010,38300,41,16,49
5/1/2010,35213,39,16,46
6/1/2010,44730,40,16,44
7/1/2010,63339,46,16,38
8/1/2010,55898,48,17,49
9/1/2010,47339,43,15,37
10/1/2010,52370,43,13,42
11/1/2010,72251,44,14,41
12/1/2010,84627,40,13,38
1/1/2011,74197,44,16,34
2/1/2011,65797,39,14,34
3/1/2011,75130,33,13,40
4/1/2011,63835,33,13,42
5/1/2011,48943,34,14,34
6/1/2011,53636,39,15,43
7/1/2011,83786,40,16,37
8/1/2011,72463,49,15,38
9/1/2011,60219,38,14,39
10/1/2011,69563,39,14,40
11/1/2011,90889,41,12,38
12/1/2011,97517,40,13,27
1/1/2012,85874,45,16,36
2/1/2012,83549,38,15,30
3/1/2012,91102,36,14,31
4/1/2012,69591,36,13,30
5/1/2012,57506,35,14,33
6/1/2012,65245,36,15,31
7/1/2012,90338,40,15,35
8/1/2012,79456,42,15,31
9/1/2012,71111,43,17,31
10/1/2012,80379,39,15,31
11/1/2012,109202,39,13,25
12/1/2012,122252,38,12,26
1/1/2013,110543,45,20,31
2/1/2013,113968,38,16,31
3/1/2013,113208,36,17,29
4/1/2013,80737,35,14,29
5/1/2013,74838,34,13,30
6/1/2013,90279,35,14,29
7/1/2013,107016,41,15,31
8/1/2013,123269,44,16,28
9/1/2013,90339,38,16,32
10/1/2013,107058,39,15,29
11/1/2013,109420,40,13,28
12/1/2013,153918,41,13,24
1/1/2014,146575,45,18,29
2/1/2014,141878,40,16,31
3/1/2014,133048,36,15,26
4/1/2014,112631,36,14,28
5/1/2014,90046,32,14,29
6/1/2014,103175,34,14,30
7/1/2014,133971,39,16,29
8/1/2014,140319,45,15,27
9/1/2014,105535,38,16,28
10/1/2014,121576,33,15,28
11/1/2014,119727,37,15,26
12/1/2014,178672,39,13,24
1/1/2015,156246,44,20,27
2/1/2015,165541,41,16,30
3/1/2015,157051,36,16,28
4/1/2015,122217,40,16,29
5/1/2015,113529,36,16,27
6/1/2015,115467,37,16,30
7/1/2015,175804,43,17,23
8/1/2015,166610,45,19,25
9/1/2015,143374,39,17,26
10/1/2015,132280,40,16,26
11/1/2015,144147,39,16,25
12/1/2015,206114,47,17,23
1/1/2016,194280,47,21,24
2/1/2016,197697,40,19,26
3/1/2016,192841,41,18,28
4/1/2016,136367,43,18,26
5/1/2016,125044,38,17,26
6/1/2016,118038,37,17,26
7/1/2016,209351,42,19,23
8/1/2016,186288,45,17,26
9/1/2016,148499,42,18,25
10/1/2016,150419,40,19,25
